business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,date,time
9232,Fillmore Street Cafe,1301 Fillmore Street,94115,37.781974,-122.432474,-197807512,2016-11-28,90,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2016-11-28,1970-01-01T12:00:00.000Z
4860,Play  Field Cafe,1 Zoo Rd,94132,37.73017,-122.502535,688865963,2017-04-11,88,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2017-04-11,1970-01-01T12:00:00.000Z
1734,SAI JAI THAI,771 O'FARRELL St,94109,37.785182,-122.417409,1621488669,2018-05-09,88,Routine - Unscheduled,103132,Improper thawing methods,Moderate Risk,2018-05-09,1970-01-01T12:00:00.000Z
2358,TAQUERIA SAN JOSE #1,2830 MISSION St,94110,37.751687,-122.418455,-403020362,2018-09-18,87,Routine - Unscheduled,103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,2018-09-18,1970-01-01T12:00:00.000Z
3868,BARNEY'S,4138 24th St,94114,37.751268,-122.434992,273114071,2017-07-11,87,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2017-07-11,1970-01-01T12:00:00.000Z
3621,JIM'S RESTAURANT,2420 MISSION St,94110,37.758271,-122.419081,1342927555,2018-04-19,86,Routine - Unscheduled,103131,Moderate risk vermin infestation,Moderate Risk,2018-04-19,1970-01-01T12:00:00.000Z
2749,TAQUERIA CANCUN,3211 MISSION St,94110,37.745433,-122.419945,42284058,2019-10-02,86,Routine - Unscheduled,103144,Unapproved or unmaintained equipment or utensils,Low Risk,2019-10-02,1970-01-01T12:00:00.000Z
63893,Marina Sushi Bar,2020 LOMBARD St,94123,37.800028,-122.434864,-1591155931,2018-05-17,88,Routine - Unscheduled,103119,Inadequate and inaccessible handwashing facilities,Moderate Risk,2018-05-17,1970-01-01T12:00:00.000Z
32671,La Taqueria Guadalajara,3146 24th St,94110,37.752512,-122.415109,-1349942146,2017-01-10,70,Routine - Unscheduled,103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,2017-01-10,1970-01-01T12:00:00.000Z
1366,CAFE LA TAZA,2475A MISSION,94110,37.757436,-122.41888,-818782747,2017-07-25,74,Routine - Unscheduled,103120,Moderate risk food holding temperature,Moderate Risk,2017-07-25,1970-01-01T12:00:00.000Z
